지역,행정구역,시군구,년도,사고건수,사망자수,중상자수,경상자수,부상신고자수,총등록대수(대),총인구수,노인수,노인비율,토지면적(㎡),도로면적(㎡),교통사고 사상자 수,교통안전도 평가지수
강원 평창군,강원,평창군,2017,13,3,7,5,0,25088.0,43092.0,10399,24.13208948,"1,463,894,643.6","18,817,957.1",9.399999999999999,0.00432079081632653
강원 평창군,강원,평창군,2018,10,4,5,2,0,25593.0,42610.0,10675,25.05280451,"1,464,050,363.9","19,997,611.7",8.1,0.003461884108936037
강원 평창군,강원,평창군,2019,14,2,10,3,0,25867.0,42106.0,11200,26.59953451,"1,463,928,054.3","20,240,892.8",9.9,0.004461282715428925
강원 평창군,강원,평창군,2020,10,0,5,4,1,26320.0,41681.0,11831,28.38463569,"1,463,955,083.8","20,331,136.3",4.7,0.0025911854103343466
강원 평창군,강원,평창군,2021,8,0,4,3,1,26571.0,40996.0,12293,29.98585228,"1,463,948,606.0","20,460,862.1",3.6999999999999997,0.0020398178465244063
강원 평창군,강원,평창군,2022,3,0,1,2,0,27457.0,40990.0,12896,31.46133203,"1,464,186,612.9","20,532,871.1",1.2999999999999998,0.0007211275813089557
강원 평창군,강원,평창군,2023,6,1,3,2,0,28162.0,34202.0,13501,39.47429975,"1,464,257,647.1","21,018,236.4",3.6999999999999997,0.0016405084866131668
강원 홍천군,강원,홍천군,2012,25,5,10,10,0,31102.0,69727.0,13852,19.86604902,"1,819,670,858.2","18,710,533.9",15.0,0.0061089319014854355
강원 홍천군,강원,홍천군,2013,24,3,11,10,0,32085.0,70638.0,14159,20.04445199,"1,819,670,464.2","18,722,460.9",13.7,0.005553997194950911
강원 홍천군,강원,홍천군,2014,14,1,8,5,0,33070.0,70451.0,14400,20.43973826,"1,819,768,170.2","18,731,460.3",8.1,0.003162987602056245
강원 홍천군,강원,홍천군,2015,21,2,15,5,0,34390.0,70336.0,14739,20.95512966,"1,819,829,903.3","19,095,920.8",14.0,0.004885141029369003
강원 홍천군,강원,홍천군,2016,27,2,14,11,0,36016.0,70076.0,14933,21.30972087,"1,820,144,860.2","19,814,328.1",15.099999999999998,0.005514215904042647
강원 홍천군,강원,홍천군,2017,21,1,13,9,1,37505.0,70340.0,15899,22.6030708,"1,820,278,031.8","20,917,070.5",12.799999999999999,0.004287428342887614
강원 홍천군,강원,홍천군,2018,16,0,11,5,0,38458.0,69949.0,16406,23.45423094,"1,820,182,075.0","22,291,832.9",9.2,0.0030994851526340425
강원 홍천군,강원,홍천군,2019,20,2,7,9,2,38826.0,69150.0,17173,24.83441793,"1,820,310,462.5","22,502,242.8",9.6,0.003544016895894504
강원 홍천군,강원,홍천군,2020,17,2,10,5,0,40260.0,69242.0,18133,26.18786286,"1,820,343,873.3","22,588,090.1",10.5,0.0032538499751614512
강원 홍천군,강원,홍천군,2021,24,3,10,11,0,40777.0,68365.0,19086,27.91779419,"1,820,515,776.9","22,650,781.0",13.3,0.004311253893126027
강원 홍천군,강원,홍천군,2022,15,2,6,7,0,41676.0,67977.0,20163,29.66150316,"1,820,581,130.9","22,782,836.4",8.299999999999999,0.002634609847394184
강원 홍천군,강원,홍천군,2023,15,2,8,5,0,42407.0,46359.0,21287,45.91772903,"1,820,572,725.7","22,859,516.9",9.1,0.0027023840403706937
강원 화천군,강원,화천군,2012,3,0,3,0,0,9824.0,25020.0,4603,18.39728217,"908,659,327.5","10,493,663.0",2.0999999999999996,0.002504071661237785
강원 화천군,강원,화천군,2013,2,0,2,2,0,10198.0,25079.0,4668,18.61318234,"908,968,093.6","10,690,415.6",2.0,0.0019611688566385566
강원 화천군,강원,화천군,2014,6,1,3,2,1,10901.0,27143.0,4791,17.65095973,"908,969,956.6","10,856,759.6",3.6999999999999997,0.004238143289606458
강원 화천군,강원,화천군,2016,3,1,2,0,0,11823.0,26264.0,4806,18.29881206,"908,933,858.3","10,885,269.6",2.4,0.0022329358030956613
